Order_ID,Order_Date,Order_Month,Region,Channel,Customer_ID,Product_Category,Product,Units,Unit_Price,Discount_Pct,Shipping_Cost,COGS_Unit,Returned_Flag,Payment_Method,Gross_Revenue,Discount_Amount,Net_Revenue,COGS,Gross_Profit
O2025000018,2025-01-05,2025-01-01,Midwest,Website,C10819,Home,Storage Bins,2,33.35,0.0,6.5,14.65,0,Card,66.7,0.0,66.7,29.3,30.9
O2025000019,2025-01-05,2025-01-01,West,Website,C10600,Electronics,Bluetooth Speaker,2,30.39,0.11,6.37,16.31,0,Card,60.78,6.69,54.09,32.62,15.1
O2025000020,2025-01-05,2025-01-01,Midwest,Website,C10195,Electronics,Portable Charger,2,83.3,0.11,3.7,49.47,0,Card,166.6,18.33,148.27,98.94,45.63
O2025000021,2025-01-06,2025-01-01,West,Website,C10309,Home,Air Fryer,4,42.19,0.09,2.83,16.94,0,Card,168.76,15.19,153.57,67.76,82.98
O2025000022,2025-01-06,2025-01-01,Northeast,Marketplace,C10656,Electronics,Smart Watch,5,70.45,0.03,3.6,28.25,0,Card,352.25,10.57,341.68,141.25,196.83
O2025000023,2025-01-06,2025-01-01,West,Website,C10611,Electronics,Smart Watch,4,73.24,0.08,7.46,37.07,0,Apple Pay,292.96,23.44,269.52,148.28,113.78
O2025000024,2025-01-06,2025-01-01,Midwest,Website,C10161,Electronics,Wireless Earbuds,2,62.7,0.02,4.81,35.59,0,Apple Pay,125.4,2.51,122.89,71.18,46.9
O2025000025,2025-01-06,2025-01-01,West,Website,C10367,Home,Storage Bins,3,49.47,0.18,10.4,28.34,0,Card,148.41,26.71,121.7,85.02,26.28
O2025000026,2025-01-06,2025-01-01,West,Website,C10414,Pet,Cat Litter,2,20.79,0.07,4.18,8.89,1,Card,41.58,2.91,38.67,17.78,16.71
O2025000027,2025-01-06,2025-01-01,West,Marketplace,C10274,Sports,Resistance Bands,1,29.56,0.1,6.45,13.67,1,Card,29.56,2.96,26.6,13.67,6.48
O2025000028,2025-01-06,2025-01-01,Northeast,Website,C10305,Sports,Yoga Mat,1,24.36,0.08,5.94,12.95,1,Card,24.36,1.95,22.41,12.95,3.52
O2025000029,2025-01-06,2025-01-01,Southwest,Marketplace,C10023,Beauty,Moisturizer,1,35.7,0.15,4.96,20.22,0,PayPal,35.7,5.36,30.34,20.22,5.16
O2025000030,2025-01-07,2025-01-01,Northeast,Website,C10570,Home,Storage Bins,2,42.15,0.09,6.86,24.13,0,Card,84.3,7.59,76.71,48.26,21.59
O2025000031,2025-01-07,2025-01-01,Southeast,Marketplace,C10744,Electronics,Wireless Earbuds,3,53.56,0.15,3.82,25.09,0,Card,160.68,24.1,136.58,75.27,57.49
O2025000032,2025-01-08,2025-01-01,Southeast,Marketplace,C10575,Home,Vacuum Filter,4,45.83,0.06,5.26,24.53,0,Card,183.32,11.0,172.32,98.12,68.94
O2025000033,2025-01-08,2025-01-01,Midwest,Website,C10072,Apparel,Leggings,4,28.27,0.16,3.25,14.71,0,Card,113.08,18.09,94.99,58.84,32.9
O2025000034,2025-01-08,2025-01-01,Southwest,Marketplace,C10812,Apparel,Athletic Tee,1,29.04,0.08,2.5,12.9,0,Card,29.04,2.32,26.72,12.9,11.32
O2025000035,2025-01-08,2025-01-01,West,Retail Partner,C10627,Sports,Resistance Bands,4,31.33,0.14,3.29,17.23,0,Card,125.32,17.54,107.78,68.92,35.57
O2025000036,2025-01-09,2025-01-01,Northeast,Marketplace,C10755,Sports,Water Bottle,3,26.03,0.13,3.3,11.15,0,Card,78.09,10.15,67.94,33.45,31.19
O2025000037,2025-01-10,2025-01-01,Northeast,Marketplace,C10383,Pet,Chew Toy,1,18.26,0.19,3.02,9.83,1,PayPal,18.26,3.47,14.79,9.83,1.94
O2025000038,2025-01-10,2025-01-01,Southeast,Website,C10058,Apparel,Athletic Tee,1,37.26,0.08,6.4,17.85,0,Card,37.26,2.98,34.28,17.85,10.03
O2025000039,2025-01-10,2025-01-01,West,Website,C10173,Home,Storage Bins,2,48.24,0.0,5.07,26.79,0,Card,96.48,0.0,96.48,53.58,37.83
O2025000040,2025-01-10,2025-01-01,Midwest,Marketplace,C10155,Apparel,Hoodie,3,28.04,0.04,6.05,15.66,1,Card,84.12,3.36,80.76,46.98,27.73
O2025000041,2025-01-10,2025-01-01,Midwest,Marketplace,C10045,Sports,Water Bottle,4,24.37,0.1,8.47,10.47,0,Card,97.48,9.75,87.73,41.88,37.38
O2025000042,2025-01-10,2025-01-01,West,Website,C10040,Home,LED Lamp,2,41.76,0.18,5.68,21.29,0,Card,83.52,15.03,68.49,42.58,20.23
O2025000043,2025-01-10,2025-01-01,Southwest,Website,C10259,Home,LED Lamp,1,34.33,0.06,6.17,19.85,0,Card,34.33,2.06,32.27,19.85,6.25
O2025000044,2025-01-11,2025-01-01,Southeast,Website,C10639,Electronics,Wireless Earbuds,1,60.72,0.09,3.22,32.23,0,Apple Pay,60.72,5.46,55.26,32.23,19.81
O2025000045,2025-01-11,2025-01-01,Northeast,Marketplace,C10418,Sports,Water Bottle,4,20.53,0.2,6.87,10.02,1,Card,82.12,16.42,65.7,40.08,18.75
O2025000046,2025-01-11,2025-01-01,Midwest,Website,C10311,Apparel,Leggings,4,21.12,0.05,6.89,9.25,0,Card,84.48,4.22,80.26,37.0,36.37
O2025000047,2025-01-11,2025-01-01,West,Retail Partner,C10046,Pet,Chew Toy,2,18.48,0.11,2.09,8.02,0,Card,36.96,4.07,32.89,16.04,14.76
O2025000048,2025-01-12,2025-01-01,Midwest,Marketplace,C10877,Electronics,Bluetooth Speaker,3,56.47,0.14,6.54,28.75,0,Card,169.41,23.72,145.69,86.25,52.9
O2025000049,2025-01-12,2025-01-01,Northeast,Retail Partner,C10875,Electronics,Bluetooth Speaker,2,51.42,0.05,3.56,28.66,0,PayPal,102.84,5.14,97.7,57.32,36.82
O2025000050,2025-01-12,2025-01-01,Midwest,Marketplace,C10192,Home,Storage Bins,1,27.61,0.13,4.98,15.53,0,Card,27.61,3.59,24.02,15.53,3.51
O2025000051,2025-01-12,2025-01-01,Southeast,Marketplace,C10155,Electronics,Portable Charger,5,56.86,0.19,5.52,32.1,0,Card,284.3,54.02,230.28,160.5,64.26
O2025000052,2025-01-12,2025-01-01,Midwest,Retail Partner,C10860,Electronics,Smart Watch,1,81.61,0.16,5.83,42.92,0,Card,81.61,13.06,68.55,42.92,19.8
O2025000053,2025-01-12,2025-01-01,Midwest,Website,C10835,Pet,Cat Litter,2,21.49,0.07,4.2,12.73,1,Card,42.98,3.01,39.97,25.46,10.31
O2025000054,2025-01-13,2025-01-01,West,Marketplace,C10680,Home,Storage Bins,1,55.61,0.31,4.76,28.4,0,Card,55.61,17.24,38.37,28.4,5.21
O2025000055,2025-01-13,2025-01-01,Southeast,Website,C10672,Sports,Water Bottle,3,21.91,0.11,5.55,11.11,0,Card,65.73,7.23,58.5,33.33,19.62
O2025000056,2025-01-13,2025-01-01,Southeast,Marketplace,C10685,Home,Air Fryer,5,55.36,0.1,5.04,32.62,0,PayPal,276.8,27.68,249.12,163.1,80.98
O2025000057,2025-01-13,2025-01-01,Southwest,Website,C10646,Apparel,Leggings,3,22.21,0.04,2.5,12.43,0,Card,66.63,2.67,63.96,37.29,24.17
O2025000058,2025-01-13,2025-01-01,West,Marketplace,C10546,Sports,Yoga Mat,3,19.82,0.05,6.53,11.17,0,Card,59.46,2.97,56.49,33.51,16.45
O2025000059,2025-01-13,2025-01-01,Southwest,Website,C10755,Electronics,Wireless Earbuds,3,65.69,0.14,7.02,31.23,0,Card,197.07,27.59,169.48,93.69,68.77
O2025000060,2025-01-13,2025-01-01,Midwest,Marketplace,C10796,Pet,Chew Toy,5,12.42,0.03,8.48,6.35,0,PayPal,62.1,1.86,60.24,31.75,20.01
O2025000061,2025-01-13,2025-01-01,West,Marketplace,C10480,Home,Storage Bins,2,45.58,0.11,4.35,19.19,0,Card,91.16,10.03,81.13,38.38,38.4
O2025000062,2025-01-13,2025-01-01,Midwest,Retail Partner,C10210,Beauty,Vitamin C Serum,1,29.85,0.0,1.86,16.83,0,PayPal,29.85,0.0,29.85,16.83,11.16
O2025000063,2025-01-14,2025-01-01,West,Retail Partner,C10516,Home,LED Lamp,4,61.55,0.08,3.92,28.01,0,Card,246.2,19.7,226.5,112.04,110.54
O2025000064,2025-01-14,2025-01-01,Southeast,Website,C10782,Beauty,Hair Mask,5,23.76,0.09,3.52,12.6,0,Card,118.8,10.69,108.11,63.0,41.59
O2025000065,2025-01-14,2025-01-01,Northeast,Marketplace,C10138,Home,Air Fryer,1,49.15,0.03,5.36,19.98,0,Card,49.15,1.47,47.68,19.98,22.34
O2025000066,2025-01-14,2025-01-01,West,Website,C10792,Home,Storage Bins,2,38.65,0.02,4.64,18.16,1,Afterpay,77.3,1.55,75.75,36.32,34.79
O2025000067,2025-01-15,2025-01-01,Southeast,Website,C10373,Electronics,Bluetooth Speaker,5,52.03,0.17,5.71,22.26,0,Card,260.15,44.23,215.92,111.3,98.91
O2025000068,2025-01-15,2025-01-01,West,Marketplace,C10545,Apparel,Athletic Tee,3,10.75,0.08,4.56,5.12,1,Card,32.25,2.58,29.67,15.36,9.75
O2025000069,2025-01-15,2025-01-01,Southwest,Retail Partner,C10028,Home,Vacuum Filter,1,35.83,0.09,3.97,18.86,0,Apple Pay,35.83,3.22,32.61,18.86,9.78
O2025000070,2025-01-15,2025-01-01,Midwest,Marketplace,C10595,Home,Storage Bins,1,56.3,0.1,3.71,28.48,0,Card,56.3,5.63,50.67,28.48,18.48
O2025000071,2025-01-16,2025-01-01,Northeast,Website,C10691,Beauty,Vitamin C Serum,1,31.18,0.14,9.65,12.8,0,Card,31.18,4.37,26.81,12.8,4.36
O2025000072,2025-01-16,2025-01-01,West,Marketplace,C10205,Electronics,Bluetooth Speaker,2,61.06,0.2,6.77,30.66,0,Card,122.12,24.42,97.7,61.32,29.61
O2025000073,2025-01-16,2025-01-01,Northeast,Marketplace,C10174,Home,Air Fryer,2,69.17,0.18,4.24,27.94,1,Card,138.34,24.9,113.44,55.88,53.32
O2025000074,2025-01-16,2025-01-01,West,Marketplace,C10442,Beauty,Vitamin C Serum,1,31.32,0.15,3.63,15.29,0,PayPal,31.32,4.7,26.62,15.29,7.7
O2025000075,2025-01-16,2025-01-01,West,Website,C10081,Sports,Water Bottle,4,16.09,0.12,5.03,8.97,0,PayPal,64.36,7.72,56.64,35.88,15.73
O2025000076,2025-01-17,2025-01-01,Southeast,Marketplace,C10528,Sports,Resistance Bands,2,21.05,0.04,4.52,10.84,0,Afterpay,42.1,1.68,40.42,21.68,14.22
O2025000077,2025-01-17,2025-01-01,Northeast,Website,C10791,Home,LED Lamp,3,44.47,0.17,3.88,21.13,0,PayPal,133.41,22.68,110.73,63.39,43.46
O2025000078,2025-01-17,2025-01-01,West,Retail Partner,C10284,Sports,Resistance Bands,5,29.71,0.05,4.73,15.72,0,Card,148.55,7.43,141.12,78.6,57.79
O2025000079,2025-01-17,2025-01-01,Midwest,Marketplace,C10639,Pet,Pet Shampoo,1,14.49,0.06,7.12,7.45,0,Card,14.49,0.87,13.62,7.45,-0.95
O2025000080,2025-01-17,2025-01-01,Northeast,Marketplace,C10038,Home,Air Fryer,1,49.18,0.09,3.42,23.52,1,Card,49.18,4.43,44.75,23.52,17.81
O2025000081,2025-01-17,2025-01-01,Midwest,Marketplace,C10258,Home,Storage Bins,3,54.61,0.07,6.38,26.12,0,PayPal,163.83,11.47,152.36,78.36,67.62
O2025000082,2025-01-18,2025-01-01,Southeast,Retail Partner,C10854,Sports,Resistance Bands,3,18.14,0.11,3.24,9.71,0,Afterpay,54.42,5.99,48.43,29.13,16.06
O2025000083,2025-01-18,2025-01-01,Southeast,Retail Partner,C10521,Beauty,Vitamin C Serum,2,28.56,0.13,4.06,15.06,0,Apple Pay,57.12,7.43,49.69,30.12,15.51
O2025000084,2025-01-18,2025-01-01,Southwest,Website,C10725,Apparel,Leggings,1,14.65,0.17,4.18,7.76,0,Card,14.65,2.49,12.16,7.76,0.22
O2025000085,2025-01-18,2025-01-01,West,Website,C10339,Electronics,Wireless Earbuds,3,60.33,0.08,9.21,25.73,0,Card,180.99,14.48,166.51,77.19,80.11
O2025000086,2025-01-19,2025-01-01,West,Marketplace,C10328,Sports,Yoga Mat,2,11.48,0.08,5.51,6.75,0,Card,22.96,1.84,21.12,13.5,2.11
O2025000087,2025-01-19,2025-01-01,Northeast,Retail Partner,C10622,Home,Storage Bins,3,41.27,0.07,5.38,23.69,0,Card,123.81,8.67,115.14,71.07,38.69
O2025000088,2025-01-19,2025-01-01,Midwest,Marketplace,C10478,Home,Air Fryer,1,61.88,0.04,4.52,26.74,0,Card,61.88,2.48,59.4,26.74,28.14
O2025000089,2025-01-19,2025-01-01,Midwest,Website,C10577,Apparel,Socks Pack,3,28.34,0.04,7.8,15.67,0,Apple Pay,85.02,3.4,81.62,47.01,26.81
O2025000090,2025-01-19,2025-01-01,West,Website,C10531,Home,Air Fryer,3,45.54,0.22,5.18,21.53,0,Card,136.62,30.06,106.56,64.59,36.79
O2025000091,2025-01-19,2025-01-01,Northeast,Website,C10560,Pet,Chew Toy,1,18.61,0.04,8.37,10.47,0,Card,18.61,0.74,17.87,10.47,-0.97
O2025000092,2025-01-20,2025-01-01,Midwest,Marketplace,C10862,Apparel,Hoodie,3,38.22,0.09,5.05,19.15,1,PayPal,114.66,10.32,104.34,57.45,41.84
O2025000093,2025-01-20,2025-01-01,West,Retail Partner,C10755,Apparel,Athletic Tee,2,29.16,0.13,2.08,15.38,0,Afterpay,58.32,7.58,50.74,30.76,17.9
O2025000094,2025-01-20,2025-01-01,Southeast,Website,C10502,Electronics,Portable Charger,2,72.42,0.1,3.44,37.81,0,Card,144.84,14.48,130.36,75.62,51.3
O2025000095,2025-01-20,2025-01-01,Southeast,Website,C10344,Electronics,Wireless Earbuds,3,53.47,0.14,4.23,28.27,0,Card,160.41,22.46,137.95,84.81,48.91
O2025000096,2025-01-20,2025-01-01,Midwest,Website,C10651,Electronics,Bluetooth Speaker,2,53.5,0.03,6.47,28.07,0,Card,107.0,3.21,103.79,56.14,41.18
O2025000097,2025-01-20,2025-01-01,Southeast,Website,C10539,Home,Air Fryer,1,34.83,0.02,6.05,18.45,0,Afterpay,34.83,0.7,34.13,18.45,9.63
O2025000098,2025-01-21,2025-01-01,West,Website,C10722,Apparel,Hoodie,3,25.04,0.17,5.59,12.42,0,Card,75.12,12.77,62.35,37.26,19.5
O2025000099,2025-01-21,2025-01-01,Northeast,Website,C10677,Sports,Yoga Mat,6,18.68,0.04,7.29,9.4,0,Card,112.08,4.48,107.6,56.4,43.91
O2025000100,2025-01-21,2025-01-01,Northeast,Website,C10090,Electronics,Bluetooth Speaker,3,71.73,0.08,8.33,30.73,0,Card,215.19,17.22,197.97,92.19,97.45
O2025000101,2025-01-21,2025-01-01,Northeast,Retail Partner,C10667,Electronics,Wireless Earbuds,2,67.31,0.1,2.14,35.35,0,Afterpay,134.62,13.46,121.16,70.7,48.32
O2025000102,2025-01-21,2025-01-01,Southwest,Website,C10523,Pet,Pet Shampoo,2,17.56,0.0,7.19,8.37,0,Apple Pay,35.12,0.0,35.12,16.74,11.19
O2025000103,2025-01-21,2025-01-01,Southeast,Marketplace,C10078,Sports,Yoga Mat,1,19.43,0.1,9.55,7.99,0,Apple Pay,19.43,1.94,17.49,7.99,-0.05
O2025000104,2025-01-21,2025-01-01,West,Website,C10836,Electronics,Smart Watch,4,21.95,0.04,4.27,12.19,0,Card,87.8,3.51,84.29,48.76,31.26
O2025000105,2025-01-21,2025-01-01,West,Website,C10174,Sports,Running Belt,2,19.19,0.12,4.36,10.23,0,Card,38.38,4.61,33.77,20.46,8.95
O2025000106,2025-01-22,2025-01-01,West,Marketplace,C10741,Home,LED Lamp,1,48.03,0.1,6.11,22.79,0,Card,48.03,4.8,43.23,22.79,14.33
O2025000107,2025-01-22,2025-01-01,Southeast,Website,C10350,Home,LED Lamp,3,51.52,0.0,5.8,27.47,0,Card,154.56,0.0,154.56,82.41,66.35
O2025000108,2025-01-22,2025-01-01,Northeast,Retail Partner,C10829,Electronics,Portable Charger,1,19.49,0.14,2.65,11.67,0,Afterpay,19.49,2.73,16.76,11.67,2.44
O2025000109,2025-01-22,2025-01-01,Southeast,Retail Partner,C10727,Apparel,Leggings,2,12.45,0.0,3.16,5.34,0,PayPal,24.9,0.0,24.9,10.68,11.06
O2025000110,2025-01-23,2025-01-01,West,Retail Partner,C10146,Beauty,Sunscreen,2,29.0,0.06,4.97,15.9,0,Afterpay,58.0,3.48,54.52,31.8,17.75
O2025000111,2025-01-23,2025-01-01,West,Website,C10522,Sports,Water Bottle,2,17.08,0.04,7.03,10.24,0,Card,34.16,1.37,32.79,20.48,5.28
O2025000112,2025-01-23,2025-01-01,Northeast,Marketplace,C10699,Home,LED Lamp,3,42.92,0.08,3.93,18.12,0,Card,128.76,10.3,118.46,54.36,60.17
O2025000113,2025-01-23,2025-01-01,Southwest,Marketplace,C10786,Home,Vacuum Filter,5,40.42,0.12,2.5,17.99,0,Card,202.1,24.25,177.85,89.95,85.4
O2025000114,2025-01-23,2025-01-01,West,Retail Partner,C10251,Sports,Water Bottle,3,24.83,0.15,2.04,11.55,0,Card,74.49,11.17,63.32,34.65,26.63
O2025000115,2025-01-23,2025-01-01,West,Website,C10432,Pet,Cat Litter,4,10.75,0.03,5.71,6.37,0,Card,43.0,1.29,41.71,25.48,10.52
O2025000116,2025-01-23,2025-01-01,Southwest,Website,C10788,Apparel,Socks Pack,2,22.81,0.05,3.97,9.16,0,Card,45.62,2.28,43.34,18.32,21.05
O2025000117,2025-01-24,2025-01-01,West,Marketplace,C10807,Home,LED Lamp,1,54.27,0.17,3.87,27.53,0,Card,54.27,9.23,45.04,27.53,13.64
O2025000118,2025-01-24,2025-01-01,West,Website,C10705,Home,Vacuum Filter,5,47.08,0.12,6.69,21.16,0,Card,235.4,28.25,207.15,105.8,94.66
O2025000119,2025-01-24,2025-01-01,Southeast,Website,C10390,Beauty,Vitamin C Serum,3,22.98,0.13,4.88,9.88,0,Afterpay,68.94,8.96,59.98,29.64,25.46
O2025000120,2025-01-24,2025-01-01,Northeast,Website,C10337,Home,Air Fryer,2,49.49,0.11,4.7,19.89,0,Card,98.98,10.89,88.09,39.78,43.61
O2025000121,2025-01-25,2025-01-01,Southwest,Marketplace,C10647,Apparel,Leggings,3,27.64,0.1,5.77,13.27,0,Card,82.92,8.29,74.63,39.81,29.05
O2025000122,2025-01-25,2025-01-01,Northeast,Website,C10521,Home,Storage Bins,1,36.36,0.06,8.0,16.8,0,Card,36.36,2.18,34.18,16.8,9.38
O2025000123,2025-01-25,2025-01-01,Southeast,Marketplace,C10218,Home,Vacuum Filter,3,51.81,0.09,5.94,24.46,0,Card,155.43,13.99,141.44,73.38,62.12
O2025000124,2025-01-25,2025-01-01,West,Marketplace,C10422,Beauty,Moisturizer,2,32.14,0.18,6.63,17.99,0,PayPal,64.28,11.57,52.71,35.98,10.1
O2025000125,2025-01-25,2025-01-01,Midwest,Website,C10489,Sports,Running Belt,2,21.39,0.19,5.54,10.38,0,Card,42.78,8.13,34.65,20.76,8.35
O2025000126,2025-01-25,2025-01-01,Midwest,Retail Partner,C10847,Home,LED Lamp,3,54.26,0.22,4.91,25.87,0,PayPal,162.78,35.81,126.97,77.61,44.45
O2025000127,2025-01-25,2025-01-01,West,Retail Partner,C10035,Electronics,Portable Charger,2,44.04,0.02,1.91,22.34,0,Card,88.08,1.76,86.32,44.68,39.73
O2025000128,2025-01-26,2025-01-01,Southeast,Retail Partner,C10498,Pet,Dog Treats,4,21.02,0.07,2.02,10.47,0,Apple Pay,84.08,5.89,78.19,41.88,34.29
O2025000129,2025-01-26,2025-01-01,West,Marketplace,C10771,Electronics,Smart Watch,1,56.6,0.12,4.48,30.75,0,Apple Pay,56.6,6.79,49.81,30.75,14.58
O2025000130,2025-01-26,2025-01-01,West,Website,C10069,Apparel,Socks Pack,3,20.73,0.08,9.04,10.82,0,PayPal,62.19,4.98,57.21,32.46,15.71
O2025000131,2025-01-26,2025-01-01,Southeast,Website,C10701,Home,LED Lamp,3,39.22,0.01,8.17,19.04,0,PayPal,117.66,1.18,116.48,57.12,51.19
O2025000132,2025-01-26,2025-01-01,Southeast,Retail Partner,C10481,Home,LED Lamp,3,56.48,0.23,2.05,33.83,0,Apple Pay,169.44,38.97,130.47,101.49,26.93
O2025000133,2025-01-26,2025-01-01,Northeast,Website,C10178,Sports,Yoga Mat,4,19.37,0.19,4.57,11.48,0,Card,77.48,14.72,62.76,45.92,12.27
O2025000134,2025-01-26,2025-01-01,West,Website,C10017,Apparel,Socks Pack,1,24.07,0.08,6.38,12.79,0,Card,24.07,1.93,22.14,12.79,2.97
O2025000135,2025-01-26,2025-01-01,Northeast,Marketplace,C10891,Home,Air Fryer,1,38.65,0.09,5.52,21.79,0,Afterpay,38.65,3.48,35.17,21.79,7.86
O2025000136,2025-01-26,2025-01-01,Northeast,Marketplace,C10122,Beauty,Vitamin C Serum,1,23.21,0.12,6.99,10.08,0,Card,23.21,2.79,20.42,10.08,3.35
O2025000137,2025-01-26,2025-01-01,West,Marketplace,C10747,Beauty,Moisturizer,2,33.89,0.04,4.51,19.92,0,Card,67.78,2.71,65.07,39.84,20.72
O2025000138,2025-01-27,2025-01-01,Midwest,Marketplace,C10441,Electronics,Smart Watch,1,87.47,0.1,2.5,50.33,0,Card,87.47,8.75,78.72,50.33,25.89
O2025000139,2025-01-27,2025-01-01,Southwest,Website,C10235,Home,LED Lamp,2,58.15,0.14,6.51,29.33,0,Card,116.3,16.28,100.02,58.66,34.85
O2025000140,2025-01-27,2025-01-01,Southwest,Marketplace,C10415,Apparel,Leggings,1,28.9,0.23,7.65,12.96,0,Card,28.9,6.65,22.25,12.96,1.64
O2025000141,2025-01-27,2025-01-01,Northeast,Website,C10191,Apparel,Leggings,1,30.31,0.15,2.63,15.46,0,PayPal,30.31,4.55,25.76,15.46,7.67
O2025000142,2025-01-27,2025-01-01,Northeast,Website,C10062,Home,Air Fryer,3,41.68,0.17,2.5,22.86,0,Card,125.04,21.26,103.78,68.58,32.7
O2025000143,2025-01-27,2025-01-01,Midwest,Retail Partner,C10776,Apparel,Hoodie,1,23.23,0.02,2.75,11.75,0,Apple Pay,23.23,0.46,22.77,11.75,8.27
O2025000144,2025-01-28,2025-01-01,Northeast,Marketplace,C10306,Electronics,Wireless Earbuds,1,44.02,0.03,2.5,22.57,0,Apple Pay,44.02,1.32,42.7,22.57,17.63
O2025000145,2025-01-28,2025-01-01,Midwest,Marketplace,C10680,Pet,Cat Litter,5,23.66,0.21,6.17,11.34,0,Card,118.3,24.84,93.46,56.7,30.59
O2025000146,2025-01-28,2025-01-01,Southwest,Website,C10258,Electronics,Smart Watch,1,54.73,0.1,3.31,28.82,0,PayPal,54.73,5.47,49.26,28.82,17.13
O2025000147,2025-01-28,2025-01-01,Southwest,Website,C10221,Beauty,Hair Mask,3,23.68,0.08,6.73,13.26,0,PayPal,71.04,5.68,65.36,39.78,18.85
O2025000148,2025-01-28,2025-01-01,Southwest,Retail Partner,C10258,Beauty,Hair Mask,4,24.16,0.2,2.87,13.65,0,Card,96.64,19.33,77.31,54.6,19.84
O2025000149,2025-01-29,2025-01-01,Northeast,Retail Partner,C10150,Beauty,Sunscreen,6,29.2,0.02,3.38,12.91,0,Afterpay,175.2,3.5,171.7,77.46,90.86
O2025000150,2025-01-29,2025-01-01,Southeast,Website,C10398,Apparel,Hoodie,3,22.93,0.02,6.59,13.05,0,Card,68.79,1.38,67.41,39.15,21.67
O2025000151,2025-01-29,2025-01-01,West,Marketplace,C10251,Home,Storage Bins,4,45.24,0.07,5.03,23.93,0,Card,180.96,12.67,168.29,95.72,67.54
O2025000152,2025-01-29,2025-01-01,Northeast,Website,C10031,Electronics,Wireless Earbuds,4,61.22,0.19,3.57,28.61,0,Card,244.88,46.53,198.35,114.44,80.34
O2025000153,2025-01-29,2025-01-01,Midwest,Website,C10462,Electronics,Portable Charger,2,76.24,0.15,7.05,43.63,1,Card,152.48,22.87,129.61,87.26,35.3
O2025000154,2025-01-29,2025-01-01,Northeast,Marketplace,C10029,Pet,Chew Toy,1,13.17,0.03,2.75,5.84,0,Card,13.17,0.4,12.77,5.84,4.18
O2025000155,2025-01-29,2025-01-01,West,Website,C10430,Electronics,Bluetooth Speaker,3,62.88,0.2,7.93,26.9,1,Card,188.64,37.73,150.91,80.7,62.28
